task_description,category
Translate the Text,Translation
Translate Japanese quote,Translation
Change slide into english,Translation
Translate document into Thai,Translation
Draft initial sketches or thumbnails to explore different ideas and compositions.,Drawing/Illustration
"Plan the color palette for the illustration, considering the tone and context",Drawing/Illustration
Draw home first design,Drawing/Illustration
create Flowchart ,Flowchart Design
Design User Account Management UI,Mockup Design
Design Landing Page UI,Mockup Design
Design Business Information Page UI,Mockup Design
Design Bussiness Listing Page UI,Mockup Design
Design User Account Management UI,Mockup Design
send email to advisor,Email Writing
asking Professor about project via email,Email Writing
