id,user_name,work_load_per_day,team_work,work_category,work_speed,overall_quality_score
38,Qdwyt21,"[9, 9, 9]",95.58,Task Assignment and Scheduling,2.0,93.59
39,Zzclr35,"[3, 3, 8, 6, 3, 6, 5, 6, 6]",59.08,Finalizing and Submitting Work,42.97,42.75
40,Ruitg54,"[2, 4, 3, 7]",49.64,Programming,34.27,36.56
41,Vhprf92,"[2, 4, 5, 4, 2, 3]",41.41,Translation,46.23,19.86
42,Zhfbj38,"[7, 10, 6, 10, 10, 7, 7, 9, 9, 8, 7, 7, 10, 5, 7, 9, 8]",88.01,Task Assignment and Scheduling,8.61,82.44
43,Avvul53,"[8, 8, 9, 8, 7, 9, 8, 9, 10, 10, 7, 10]",79.53,Translation,14.36,80.52
44,Xgwzl49,"[4, 3, 1, 4, 5, 5, 2, 1, 1, 2, 4, 3, 2, 2, 6, 1, 0, 4]",39.16,Conducting Research,53.44,11.75
45,Upkuw16,"[5, 3, 5, 4, 7, 4, 5, 5, 7]",55.85,Testing,35.11,33.89
46,Myjah68,"[0, 2, 6, 4, 4, 3, 4, 4, 6, 2, 3, 6, 6, 2]",43.67,Working with Spreadsheets and Data,60.31,11.34
47,Mkgbj97,"[8, 9, 9, 8, 7, 8, 7, 8, 8, 9, 8, 8, 7, 8, 6, 7, 8]",78.43,Conducting Research,20.97,78.44
48,Rnkaw43,"[10, 8, 7, 8, 10, 10, 8, 10, 10, 9]",92.35,Creating Content and Visuals,7.35,98.71
49,Nfakg69,"[7, 7, 9, 5, 8, 9, 5]",78.37,Programming,19.67,69.32
50,Gmtgi32,"[4, 5, 7, 10, 6, 6, 4, 7, 7, 6, 5, 5]",64.32,Task Assignment and Scheduling,42.93,46.6
51,Gzqyp77,"[9, 6, 6, 7, 7, 8, 9, 6, 4, 7]",83.91,Sending Emails and Communication,19.32,77.72
52,Gxcrq24,"[4, 3, 4, 4, 3, 5, 5]",48.29,Conducting Research,44.67,31.35
53,Kqwfh34,"[5, 7, 6, 6, 3, 7, 7, 7, 7, 5, 7, 3]",57.52,Sending Emails and Communication,43.17,44.03
54,Vwznh53,"[10, 9, 9, 10, 8, 10, 8, 9, 10, 10, 10, 10, 8, 10, 10]",92.33,Reviewing and Providing Feedback,7.46,96.79
55,Rxdcd75,"[5, 5, 6, 5, 7, 8, 6, 8, 5, 9, 3, 5, 6, 8, 7]",70.89,Conducting Research,29.4,62.03
56,Izwuh27,"[7, 6, 5, 8, 6, 7, 5, 8, 4, 3]",62.55,Task Assignment and Scheduling,32.88,47.31
57,Gqbfw64,"[10, 6, 9, 7, 8]",86.25,Sending Emails and Communication,0.1,92.62
58,Twuns45,"[6, 6, 6, 8, 10, 9, 7, 3, 6, 10, 6]",64.75,Finalizing and Submitting Work,31.05,55.72
59,Ubytn99,"[8, 5, 10, 7]",82.5,Testing,16.39,87.55
60,Gpxvh58,"[10, 7, 5, 8, 5, 5, 4, 6]",62.97,Programming,26.4,49.65
61,Olcjr63,"[5, 3, 3, 1, 5, 5, 4, 5, 5, 1, 3, 2, 5, 4, 3, 5, 3, 6, 5, 4]",36.14,Conducting Research,41.79,17.31
62,Hqlsg62,"[7, 7, 6]",79.2,Conducting Research,15.23,81.16
63,Udivd37,"[8, 8, 8, 8, 6, 8, 7]",87.77,Working with Spreadsheets and Data,16.05,89.62
64,Papmj48,"[9, 8, 9, 6, 5, 6, 7, 9, 4]",71.96,Conducting Research,30.25,59.38
65,Bkdss98,"[7, 7, 7, 7, 4, 5, 8, 6, 6, 8]",70.46,Finalizing and Submitting Work,21.87,66.9
66,Acvny90,"[9, 10, 9, 6, 9, 7, 10, 8, 8, 10, 7, 10, 7, 9]",83.38,Reviewing and Providing Feedback,16.85,76.06
67,Ehqde60,"[5, 10, 7, 7, 4, 7, 5, 7, 8, 6, 7, 7, 8, 9, 8, 6]",65.52,Task Assignment and Scheduling,28.78,61.52
68,Rvewo18,"[5, 4, 9, 4, 6, 9, 2, 3]",52.71,Creating Content and Visuals,35.81,40.31
69,Zvrnb66,"[7, 7, 8, 9, 7, 8, 9, 9, 10, 10, 6, 9, 8, 9, 6]",89.68,Programming,10.93,90.04
70,Oeqcl18,"[10, 8, 7, 7, 8, 7, 6, 4, 9, 7]",79.9,Conducting Research,13.76,77.82
71,Kwkzz67,"[8, 8, 7, 9, 6, 7, 8, 7, 9, 7, 5]",76.05,Sending Emails and Communication,19.17,70.89
72,Tnzvl87,"[7, 5, 7, 6, 8, 7]",68.92,Working with Spreadsheets and Data,27.21,66.07
73,Anwdc48,"[5, 5, 4, 5, 3, 7, 4, 4, 6, 5, 5, 5, 3, 6, 5, 4, 5]",42.27,Testing,47.27,22.33
74,Qfynl94,"[4, 7, 6, 7, 5, 3, 7, 8, 3, 6, 3, 3]",59.51,Conducting Research,37.89,45.18
75,Vywbp38,"[5, 7, 6, 8, 4, 4]",58.19,Working with Spreadsheets and Data,32.35,40.87
76,Iveoz57,"[5, 10, 6, 8, 10, 8, 9, 4]",80.3,Documentation,18.68,69.83
77,Ohxvt12,"[2, 0, 3, 0, 3, 4, 1, 3, 3, 5, 4, 1, 3, 3, 1, 6, 5, 4]",37.41,Sending Emails and Communication,52.55,8.49
78,Aeezq81,"[2, 2, 2, 2, 2, 3]",40.88,Finalizing and Submitting Work,55.22,11.87
79,Mawkj10,"[6, 5, 5, 5, 4]",54.61,Task Assignment and Scheduling,34.43,46.96
80,Ksppz59,"[9, 8, 8]",77.56,Programming,27.38,78.53
81,Akfqd76,"[6, 6, 5, 7, 2, 5, 7, 8, 6, 7, 7, 7, 7, 6, 3]",54.98,Conducting Research,43.13,44.53
82,Yqvdg73,"[7, 5, 5, 5, 6, 5, 4, 4, 3, 2, 5, 3, 6]",46.82,Task Assignment and Scheduling,36.21,27.51
83,Hfita37,"[2, 4, 7, 2, 5, 6, 4, 4, 3, 4, 3]",32.91,Testing,63.47,9.91
84,Petzy77,"[6, 5, 3, 5]",45.67,Documentation,48.71,17.18
85,Iqnfc11,"[5, 9, 5, 8, 7, 10, 7, 8, 8, 10, 6, 9, 6, 7, 8]",74.22,Working with Spreadsheets and Data,24.55,67.27
86,Ailrp43,"[9, 7, 9, 9, 10, 8, 9, 6, 8, 9, 7, 10, 8, 10, 8, 8]",90.0,Programming,3.59,91.35
87,Kvfpv95,"[10, 10, 8, 10, 6, 8, 10, 8, 10, 9, 10, 6, 7]",84.68,Finalizing and Submitting Work,14.06,87.22
88,Tzybv29,"[6, 7, 6, 9, 7, 8, 6, 8, 8, 6, 9, 8]",74.88,Conducting Research,22.48,66.86
89,Ikzvv31,"[9, 7, 7, 6, 7, 6, 4, 8, 9, 7, 6, 10, 9, 7]",73.58,Working with Spreadsheets and Data,15.9,69.54
90,Ynzwr17,"[10, 5, 6, 9, 7, 6, 8, 9]",72.09,Sending Emails and Communication,27.19,69.27
91,Mvoed94,"[6, 5, 5, 5, 5, 4, 6, 7, 6, 1, 5, 3, 4, 9, 6, 4, 5, 5, 5]",56.8,Creating Content and Visuals,35.12,46.07
92,Znnds72,"[5, 2, 3, 3, 7, 5, 6, 5, 4]",45.4,Programming,44.58,31.73
93,Lxutb93,"[8, 7, 5]",61.79,Sending Emails and Communication,30.17,53.11
94,Iuefe34,"[6, 6, 9, 8, 7, 7, 6, 9, 10, 8, 8, 4, 10]",75.81,Testing,28.53,68.79
95,Wusyo94,"[7, 10, 9, 7, 7, 8, 7, 7, 8]",80.77,Programming,21.28,74.8
96,Uhxwn13,"[8, 8, 9, 9, 7, 9, 10, 8, 10, 9, 7, 9, 7, 6, 9, 10, 10, 10, 10, 9]",83.65,Documentation,14.12,88.57
97,Mmpdn10,"[1, 6, 2, 4, 3, 5, 5, 3, 4, 6, 1, 6, 5, 4, 4, 4, 5, 5, 3]",48.33,Finalizing and Submitting Work,49.2,24.74
98,Wqlhs41,"[6, 5, 3, 5, 4, 5, 6, 5]",49.66,Task Assignment and Scheduling,40.93,34.73
99,Heslo74,"[9, 6, 10, 10, 9, 10, 9, 10, 8, 8, 9, 10]",90.71,Working with Spreadsheets and Data,13.65,96.35
100,Hwgeh59,"[5, 3, 0, 4, 1, 3, 3, 1, 5, 5, 2, 3, 4]",37.7,Conducting Research,62.2,8.01
101,Fcpqj33,"[7, 6, 3, 7]",56.39,Programming,34.86,49.69
102,Ykeaq94,"[4, 4, 2, 1]",32.93,Working with Spreadsheets and Data,55.05,4.76
103,Lyocc85,"[4, 5, 3, 5, 7]",54.51,Working with Spreadsheets and Data,43.98,31.85
104,Huagy45,"[5, 7, 8, 7, 7, 10, 6, 8, 3, 4, 6, 7, 7, 7, 6, 3, 8, 6, 5]",69.15,Task Assignment and Scheduling,31.13,56.05
105,Xboxs28,"[6, 5, 5, 6, 7, 7, 8, 9]",81.74,Documentation,14.26,69.49
106,Gsphu25,"[7, 9, 10, 9, 8, 10, 8, 9]",83.21,Testing,2.58,89.14
107,Rgfzi79,"[5, 5, 4, 4, 3, 5, 4, 3, 3, 2, 6, 6, 2, 5, 4, 4, 2, 6, 6, 5]",45.04,Creating Content and Visuals,54.63,23.2
108,Jqeyt75,"[9, 3, 7]",58.6,Working with Spreadsheets and Data,19.33,46.98
109,Pxran37,"[10, 9, 8, 5, 9, 6, 9, 8, 7, 9, 10, 8, 9, 8, 10, 8, 10, 10, 8, 9]",86.79,Testing,0.1,95.05
110,Ofmlp76,"[4, 5, 3]",62.61,Creating Content and Visuals,35.19,46.74
111,Ojokg84,"[7, 5, 7, 4]",51.4,Documentation,36.46,34.38
112,Lbvai72,"[2, 1, 3]",33.96,Testing,59.94,5.51
113,Xkcqg51,"[8, 8, 10, 10, 8, 9, 10, 8, 10]",88.41,Conducting Research,11.8,96.42
114,Zzeru79,"[5, 3, 8, 2, 8, 6, 3, 6, 2, 4, 5, 4, 5, 5]",49.98,Programming,44.62,32.72
115,Ffsuo20,"[4, 1, 4]",50.98,Testing,47.77,28.69
116,Pwtmu46,"[4, 2, 3, 3, 5, 4, 5, 3, 2, 4, 1]",34.41,Sending Emails and Communication,64.24,9.83
117,Vmafj89,"[9, 8, 7, 9, 7, 8, 10, 8, 6, 8, 10, 7, 7]",91.53,Task Assignment and Scheduling,17.3,86.93
118,Phlkt77,"[9, 8, 10, 10, 10, 6, 9, 10, 10, 8, 9]",92.12,Translation,9.6,90.96
119,Mojmm15,"[6, 5, 9, 6, 7, 7, 5, 2, 7, 8, 7, 5, 7, 7, 8, 5, 5, 3, 7]",64.25,Testing,31.71,59.39
120,Bvlqx92,"[3, 6, 4, 5, 5, 6, 1]",33.2,Sending Emails and Communication,52.13,8.11
121,Ubvup47,"[7, 10, 5, 9, 10, 8, 10, 8, 9, 7, 8, 9, 7]",79.0,Documentation,5.06,76.73
122,Ojvje60,"[7, 10, 8, 10, 6, 10, 8, 10, 7, 7, 10, 9, 9, 9]",84.02,Programming,17.84,83.09
123,Zvcrm26,"[7, 7, 8, 8, 9, 9, 6, 8, 7, 9, 7, 7, 8, 7, 8]",77.82,Translation,21.88,67.75
124,Cakrc16,"[3, 3, 1, 3, 6, 5, 4, 4, 5, 3, 3]",35.74,Documentation,54.34,11.94
125,Kpcij73,"[8, 10, 8, 10, 10, 9, 8, 8, 9, 7, 9, 7, 10, 10, 9, 10]",94.36,Conducting Research,10.58,94.62
126,Pctlv47,"[7, 9, 8, 7, 7, 8, 6, 6, 9, 6, 6]",71.4,Translation,28.58,64.73
127,Ltvmy63,"[9, 6, 5, 8, 9, 9, 8, 6, 8, 10, 10, 10, 10, 10, 9, 8, 10, 10, 6, 7]",85.05,Conducting Research,13.15,86.08
128,Kfdlj12,"[8, 7, 5, 5, 6, 5, 9, 7, 8, 7, 10, 7, 6, 4, 8, 8]",66.49,Task Assignment and Scheduling,26.32,61.73
129,Hhmho67,"[4, 4, 8, 6, 4, 5, 7, 3, 3, 4, 5, 4, 2, 6, 6, 6, 4, 4]",48.59,Creating Content and Visuals,41.67,29.46
130,Pvcux91,"[5, 6, 5, 7, 9, 8, 8, 7, 6, 5, 8, 8, 7, 6, 6, 7]",70.34,Translation,36.02,61.32
131,Pmotr81,"[7, 7, 8, 6, 5, 7, 8, 5, 7, 8, 6, 9, 6, 9]",77.53,Documentation,27.77,68.94
132,Chdra31,"[2, 2, 6, 3, 3]",37.08,Reviewing and Providing Feedback,56.32,12.02
133,Sbkep49,"[6, 5, 7, 4, 6, 3, 6, 8, 5, 4, 6, 7, 7, 5]",62.7,Creating Content and Visuals,32.35,44.18
134,Pwhts16,"[6, 6, 6, 7, 7, 10, 7, 3, 7, 4]",59.17,Testing,30.84,50.2
135,Iufpo95,"[3, 3, 3, 6, 3, 1, 6, 3, 4, 6]",51.8,Testing,47.13,27.45
136,Etuie89,"[5, 4, 6, 6, 5, 5, 5, 5, 7, 3, 4, 6, 5, 7, 6, 6, 6, 4, 3, 5]",56.05,Documentation,44.84,36.48
137,Vntvy57,"[2, 1, 1, 5, 3, 2, 0, 4, 4, 0, 2, 2, 4, 0, 4, 3, 2]",35.05,Working with Spreadsheets and Data,61.62,5.43
138,Lfcij95,"[3, 3, 3, 3, 3, 3, 3, 3, 1, 5, 4, 5, 3, 4, 1, 1, 4, 5]",38.84,Documentation,52.07,12.83
139,Tlmqn96,"[10, 8, 9, 10, 7, 10, 10, 6, 9, 7, 7, 9, 10, 9, 9, 7]",84.9,Documentation,9.43,85.58
140,Igckc98,"[7, 7, 8, 9, 7, 7, 4, 6, 4, 9]",66.67,Programming,27.64,59.95
141,Rhjuv58,"[5, 7, 5, 6, 3, 6, 5, 9, 4, 4, 6, 7, 4, 6, 5, 7, 7]",63.22,Testing,34.5,48.55
142,Gvyae26,"[4, 6, 3, 3]",42.07,Programming,45.96,18.66
143,Zvjyu22,"[9, 8, 8, 10, 10, 10, 8, 5, 10, 10, 9, 7, 9, 10, 8, 8, 10, 10]",85.98,Programming,4.7,86.65
144,Igigm72,"[7, 4, 7, 6]",53.47,Documentation,31.63,39.67
145,Gxbia84,"[8, 8, 8, 5, 9, 6, 6, 10, 8, 9, 10, 9]",82.51,Documentation,21.7,83.58
146,Helyy59,"[8, 7, 9, 8, 8, 7, 10, 9, 8, 7, 8, 10, 7, 8, 6, 7, 10, 9, 9]",87.32,Testing,8.81,84.23
147,Cnjsy42,"[10, 8, 7, 10, 9, 8, 9, 8]",87.12,Translation,19.25,91.35
148,Omokt73,"[7, 9, 9, 8, 8, 8, 7, 10, 9, 8, 7, 10, 6, 10, 9, 10, 9, 7, 8, 7]",82.53,Reviewing and Providing Feedback,9.71,88.57
149,Cvlze70,"[7, 6, 5, 3, 5, 4, 4, 5, 6, 3, 3, 4, 5, 4, 3]",44.17,Creating Content and Visuals,45.28,28.23
150,Enzye18,"[3, 3, 3, 4, 1]",32.54,Programming,63.08,10.38
151,Bapbv66,"[7, 10, 9, 10]",86.68,Working with Spreadsheets and Data,24.54,82.97
152,Engij49,"[2, 4, 7, 4, 5, 3, 3]",50.06,Task Assignment and Scheduling,44.89,24.59
153,Xiekv24,"[10, 10, 10, 8, 9, 10, 10, 7, 10, 10, 8, 8, 7, 10]",92.93,Creating Content and Visuals,1.55,91.68
154,Cybyh22,"[8, 9, 7, 6]",69.44,Reviewing and Providing Feedback,35.43,55.25
155,Gmtyx18,"[3, 2, 1, 5, 6, 2]",34.94,Testing,50.86,11.46
156,Lcmkz19,"[3, 3, 3, 4, 3, 3, 5, 4]",41.43,Programming,59.19,23.17
157,Mzfel30,"[6, 9, 8, 8, 8, 7, 9, 6, 7, 7, 6, 8]",69.31,Programming,30.72,62.87
158,Ymeql13,"[9, 8, 9, 9, 10, 8, 7, 8, 5, 8, 9, 8, 8, 6, 7, 9, 8, 8, 7]",76.82,Translation,21.33,71.26
159,Tnhuh71,"[5, 4, 7, 5, 6, 3, 7, 6, 4, 6]",58.83,Documentation,46.17,35.5
160,Wlfaf74,"[10, 7, 10, 10, 7, 10, 10, 8, 10, 10, 8, 9, 9, 8, 9, 10]",94.74,Working with Spreadsheets and Data,15.89,100
161,Zhlyx95,"[6, 8, 6, 10, 9, 9, 6, 8, 10, 7, 9, 8, 10, 10, 10, 10, 10, 9, 8, 8]",89.86,Testing,12.28,83.46
162,Hpolo28,"[9, 8, 6, 7, 7, 5, 7, 7, 4, 5]",62.77,Working with Spreadsheets and Data,27.2,60.38
163,Dhvve21,"[9, 8, 8, 9, 8, 9, 9, 9, 10, 10, 9, 10, 8, 10, 10, 9, 10, 8]",88.45,Creating Content and Visuals,5.2,95.2
164,Wjzmi20,"[4, 4, 6, 4, 3, 6, 6, 7]",53.12,Programming,47.87,37.01
165,Facsv36,"[8, 9, 7]",75.78,Reviewing and Providing Feedback,31.99,62.97
166,Ohslr33,"[9, 9, 10, 7]",85.11,Finalizing and Submitting Work,12.16,77.99
167,Xcvnn47,"[10, 8, 10, 10, 10, 9, 10, 7]",89.98,Sending Emails and Communication,8.57,97.71
168,Xflta66,"[7, 8, 8, 8, 8, 9, 10, 7, 9, 8, 8, 9, 10, 7, 6, 8, 8, 10, 8]",84.61,Translation,13.93,77.72
169,Qjnjg18,"[9, 5, 5]",74.46,Conducting Research,21.19,60.01
170,Fpkif43,"[9, 9, 6, 9, 8, 5, 9, 9, 8, 7, 6, 7, 7, 8, 8]",73.93,Creating Content and Visuals,13.12,75.19
171,Zfusy69,"[9, 8, 7, 8, 9, 8, 10, 10, 7, 10, 10, 9, 10, 9, 10, 10, 9, 10, 8]",95.61,Task Assignment and Scheduling,3.34,98.29
172,Aijdd92,"[2, 4, 4, 4, 4, 3, 4, 3, 3, 1, 4, 2, 2, 4, 0, 3]",40.29,Creating Content and Visuals,55.78,10.86
173,Vuriv68,"[7, 7, 5, 8, 6, 7, 4, 8, 8, 6, 8, 5, 8, 5, 7, 7, 7]",73.38,Sending Emails and Communication,40.42,61.96
174,Regek94,"[6, 6, 5, 6, 7, 8, 8, 9, 6, 9, 8, 6, 6, 4, 9]",76.94,Documentation,17.91,71.43
175,Rhrhc21,"[8, 2, 5, 5, 5, 5, 5, 3, 5, 3, 4, 3, 5, 5, 5, 7, 6, 5, 5]",56.58,Task Assignment and Scheduling,41.81,36.4
176,Hjqec99,"[10, 7, 9, 8, 8, 7]",87.93,Reviewing and Providing Feedback,12.83,79.46
177,Bjoil74,"[6, 8, 10, 9, 10, 9, 7, 10, 7, 7, 10, 9, 8, 8, 8, 8, 8]",83.69,Conducting Research,18.65,80.37
178,Fdmmp10,"[8, 9, 9, 9, 10, 9, 5, 7, 7, 10, 9, 10, 9, 8, 10]",89.46,Programming,10.95,87.62
179,Zcoho91,"[6, 7, 6, 4, 5, 7, 5, 4, 3, 2, 7, 6]",55.98,Conducting Research,40.95,33.85
180,Vphxd34,"[6, 4, 7, 5]",56.77,Documentation,39.59,43.62
181,Wqoxq62,"[6, 7, 5, 1, 4, 4, 3, 3, 1, 4, 2, 0, 4, 4, 3]",34.19,Testing,54.31,10.11
182,Fduqn81,"[6, 8, 8, 8, 7, 9, 8, 6, 6, 7, 7]",60.22,Testing,32.87,51.26
183,Szmhz54,"[2, 7, 4, 5, 2, 4]",47.36,Programming,54.18,22.27
184,Bgkcp30,"[8, 10, 8, 7, 8]",86.34,Testing,15.41,89.66
185,Xioeq60,"[6, 5, 7, 6, 6, 7, 4, 4, 7, 8]",60.41,Testing,32.76,49.82
186,Lmjho67,"[7, 7, 9, 7, 7, 7, 7, 9, 6, 7, 10, 7]",73.55,Translation,21.56,60.2
187,Ljqkv51,"[6, 5, 8, 4, 5, 7, 8, 8, 7, 7, 8, 7, 7, 7, 9, 6]",66.59,Documentation,28.14,57.54
188,Wcqjg73,"[10, 10, 8, 7, 9]",88.66,Programming,9.54,91.94
189,Pinir26,"[2, 4, 5, 7, 7, 3, 5, 7, 6, 6, 4, 4]",57.85,Finalizing and Submitting Work,39.36,40.11
190,Dldfx76,"[5, 4, 5, 6]",47.5,Documentation,53.06,25.56
191,Rxnug16,"[5, 3, 4, 5, 5, 3, 7]",41.67,Documentation,52.93,25.51
192,Nuceu74,"[5, 7, 8, 8, 8, 6, 9, 8, 8, 6, 9, 8, 7]",75.28,Translation,21.07,71.51
193,Jdagi95,"[8, 7, 7, 5, 10, 6, 7, 9, 7, 7]",71.55,Documentation,28.66,61.97
194,Ypxgf67,"[10, 9, 5, 9, 10, 7, 10, 8]",90.71,Documentation,11.24,100
195,Gmmpg31,"[5, 4, 4, 8, 2, 3, 4]",54.62,Task Assignment and Scheduling,50.21,35.59
196,Mkrtv69,"[3, 2, 3, 5, 2, 3, 3, 5, 2, 5, 3]",33.42,Programming,57.7,4.33
197,Qqwcm69,"[6, 7, 7, 7, 7, 8, 5, 6, 6, 9, 7, 6, 8, 8, 9, 7, 7, 4, 3, 8]",68.56,Reviewing and Providing Feedback,25.91,53.58
198,Trhgf40,"[4, 5, 6, 3, 4, 6]",52.58,Sending Emails and Communication,38.8,35.21
199,Uxcsg57,"[2, 2, 3, 4, 4, 7, 4, 3, 2]",41.1,Working with Spreadsheets and Data,51.83,17.86
200,Rvfne14,"[5, 2, 3, 0, 6, 4, 3, 1, 6, 2, 3]",36.94,Programming,47.41,9.7
201,Jxomx54,"[4, 5, 5, 7, 5, 8, 3, 6, 3, 6, 7]",59.48,Task Assignment and Scheduling,45.06,37.05
202,Dfxus49,"[1, 5, 3, 3, 3, 4, 0, 2, 2, 2, 2, 6, 5, 6, 3, 3, 5, 1, 4]",41.59,Documentation,47.13,11.0
203,Linpo52,"[3, 3, 3, 1, 1, 3, 3, 4, 1, 1, 3, 2, 2, 4, 4, 4, 5, 2, 3]",34.71,Testing,58.55,0.16
204,Fgdqv17,"[3, 4, 4, 7, 5, 4, 5]",51.68,Working with Spreadsheets and Data,38.2,35.99
205,Bfvfv62,"[7, 9, 7, 9, 9, 10, 7, 7, 8, 10, 9]",86.63,Reviewing and Providing Feedback,20.84,85.31
206,Osvni54,"[7, 9, 8, 3, 7, 5, 8, 9, 5, 8, 8, 7, 7, 7, 10, 7, 6, 7, 5]",71.03,Programming,27.46,60.59
207,Tejhs44,"[2, 2, 3, 3, 2, 6, 7, 1, 3, 0, 3, 2, 1, 3, 2]",31.27,Documentation,59.92,0
208,Sjatm65,"[3, 6, 6, 5, 6]",47.8,Working with Spreadsheets and Data,37.3,37.16
209,Npsog70,"[6, 8, 8, 8, 6, 10, 10, 10]",87.52,Sending Emails and Communication,8.98,86.52
210,Tqald81,"[4, 2, 3, 4, 4, 0, 6, 2, 2, 3, 4, 1, 4, 3, 2, 1, 1, 3, 3, 4]",34.21,Conducting Research,45.56,7.04
211,Szghq22,"[4, 5, 2, 2, 3, 2, 4, 0, 4, 2, 4]",31.81,Translation,62.17,6.25
