id,user_name,work_load_per_day,team_work,work_category,work_speed,overall_quality_score,avg_workload,work_category_encoded,cluster,group_role
64,Iqnjf12,"[8, 7, 5, 5, 6, 6, 5, 8]",61.09,Graphic Design,24.74,46.48,6.25,7,0,Balancer
65,Oxcdu37,"[8, 9, 7, 8, 6, 9, 8, 9, 5, 9, 7, 10, 8, 8, 10, 6, 8, 7, 6]",85.43,Research,15.55,85.0,7.7894736842105265,17,1,Perfectionist
66,Falol96,"[9, 7, 5, 6, 8, 7, 9, 9, 7, 8, 10, 8, 8, 10, 8, 9]",74.11,Reviewing,18.69,72.14,8.0,18,1,Perfectionist
67,Orwcl52,"[9, 8, 7, 8, 8, 7, 9, 8, 9, 8, 7, 7]",77.55,Documentation,24.98,65.3,7.916666666666667,3,5,Helper
68,Uamrn25,"[6, 6, 4, 6, 8, 6, 5]",65.75,Testing,28.86,58.32,5.857142857142857,22,0,Balancer
69,Nlgtc28,"[10, 8, 8, 7, 9, 9, 9, 9, 10, 9, 9, 9]",89.41,Spreadsheet Work,1.85,96.96,8.833333333333334,20,4,Leader
70,Qrncc54,"[5, 2, 6, 6, 6, 3, 4, 6, 6, 6, 4, 3, 4]",47.61,Spreadsheet Work,46.39,34.36,4.6923076923076925,20,2,Task finisher
71,Ztlkt17,"[7, 6, 5, 5, 5, 7, 6, 6, 3, 7, 1, 5, 6, 4, 6]",51.59,Presentation Design,28.37,41.86,5.266666666666667,11,6,Genelarist
72,Bjjsn89,"[5, 5, 5, 6, 5, 5, 6, 5, 3, 6, 4, 7]",63.37,Reference Finding,36.28,54.46,5.166666666666667,15,0,Balancer
73,Dvhap31,"[1, 2, 1, 3, 0, 0, 1, 2, 5, 3, 1]",28.71,Report Formatting,44.95,3.71,1.7272727272727273,16,3,Lone Wolf
74,Vkcfy33,"[6, 4, 4, 4, 3, 8, 5, 7, 6, 5, 5, 7, 6, 3, 3, 8, 5]",53.93,Drawing/Illustration,38.21,33.8,5.235294117647059,4,6,Genelarist
75,Rjmwc86,"[8, 8, 8, 10, 10, 9, 7, 10, 10, 10, 10, 9, 10]",94.24,Research,8.74,97.26,9.153846153846153,17,4,Leader
76,Jfdvw57,"[6, 10, 8, 9, 8, 9, 6, 9, 9, 10, 10, 10]",85.2,Presenting,16.29,82.22,8.666666666666666,12,1,Perfectionist
77,Itpdj55,"[9, 9, 8, 10, 8, 10, 10, 10, 8, 9, 10, 9, 8, 8, 8, 9, 7, 9, 9]",90.16,Presenting,7.23,94.0,8.842105263157896,12,4,Leader
78,Ibxli76,"[4, 4, 9, 6, 5, 1, 8, 6, 4, 3, 4, 7]",53.66,Presenting,31.97,37.78,5.083333333333333,12,6,Genelarist
79,Btwnm10,"[4, 7, 6, 5, 5, 7, 5, 4, 6, 5, 4, 4, 5, 3, 5, 3, 3, 5, 5]",47.25,Flowchart Design,52.5,25.24,4.7894736842105265,6,2,Task finisher
80,Nmbmg82,"[10, 8, 7, 9, 6, 7, 7, 10, 9, 8, 7, 7, 7, 9]",83.8,Content Creation,7.82,82.77,7.928571428571429,1,1,Perfectionist
81,Yflib26,"[4, 3, 4, 3, 7, 5, 6, 4, 5, 5, 8, 5, 4, 7, 7, 3, 7]",56.75,Code Review,38.48,41.99,5.117647058823529,0,6,Genelarist
82,Ikiqw72,"[5, 9, 10, 8, 6, 7, 8, 4, 9, 8, 7, 9, 7, 9, 7, 9, 8, 9, 9]",78.99,Writing,19.69,83.63,7.7894736842105265,24,1,Perfectionist
83,Cwvgg62,"[10, 10, 9, 8, 8, 7, 7, 10, 9, 10, 6]",86.13,Research,4.64,92.11,8.545454545454545,17,4,Leader
84,Qevuq42,"[9, 8, 8, 9, 7, 10, 7, 8, 8, 5, 9, 7, 10, 4, 10, 6, 7, 8]",81.1,Documentation,20.82,70.44,7.777777777777778,3,1,Perfectionist
85,Ujfnj56,"[10, 9, 8, 7, 6, 4, 5, 8, 5]",69.8,Code Review,22.55,60.6,6.888888888888889,0,5,Helper
86,Uyphg92,"[5, 5, 6, 5, 2, 3, 3, 4, 2, 3, 2, 2, 2, 6, 4, 3, 3]",29.94,Problem Solving,49.5,6.22,3.5294117647058822,13,3,Lone Wolf
87,Tnwpz90,"[3, 4, 6, 5, 4, 8, 4, 4, 7]",52.5,Research,43.35,31.98,5.0,17,6,Genelarist
88,Bnqbk93,"[8, 8, 7, 7, 6, 7, 8, 6, 7, 10, 6, 10, 6, 8, 7, 10]",78.53,Mockup Design,15.81,73.69,7.5625,8,1,Perfectionist
89,Qeqhq98,"[9, 6, 7]",58.17,Peer Review,22.9,46.83,7.333333333333333,9,0,Balancer
90,Suvbn14,"[2, 5, 8, 3, 4, 5]",45.55,Reference Finding,45.53,29.66,4.5,15,2,Task finisher
91,Retuf45,"[3, 8, 5, 4, 9, 6, 3, 5, 4, 7, 5, 5, 6]",55.39,Programming,33.21,33.67,5.384615384615385,14,6,Genelarist
92,Hjvem47,"[9, 7, 7, 7, 7, 8, 6, 5, 5, 7, 6, 8, 9, 10, 9, 6]",68.32,Research,25.59,64.97,7.25,17,5,Helper
93,Qeilt37,"[2, 3, 3, 3, 7, 8, 3, 4, 2, 6]",46.7,Reviewing,55.5,24.7,4.1,18,2,Task finisher
94,Hklfb76,"[8, 8, 3, 6, 8, 5, 5, 7]",69.54,Report Formatting,30.93,55.21,6.25,16,0,Balancer
95,Oylvs32,"[4, 4, 4, 3, 4, 5, 6, 6, 5, 4, 5, 4, 4, 2]",49.15,Translation,43.24,33.82,4.285714285714286,23,2,Task finisher
96,Keprz32,"[5, 0, 5, 5, 5, 0, 4, 3, 4, 5, 2, 2, 1, 5, 3, 4, 3, 5, 5, 4]",32.68,Translation,46.23,14.22,3.5,23,3,Lone Wolf
97,Udhji46,"[4, 1, 3, 5, 4, 3, 3, 4, 4, 3, 1, 5, 3, 5, 5]",41.0,Content Creation,51.14,17.32,3.533333333333333,1,2,Task finisher
98,Fshnc52,"[10, 10, 8, 8, 9, 10, 9, 10, 7, 6, 6, 9, 9, 7]",77.64,Spreadsheet Work,6.25,82.32,8.428571428571429,20,1,Perfectionist
99,Tkkvi78,"[5, 9, 7, 6, 9, 8]",72.72,Content Creation,15.56,67.52,7.333333333333333,1,5,Helper
100,Niqzu15,"[4, 2, 5, 4, 5, 2]",41.69,Diagram Creation,57.03,19.25,3.6666666666666665,2,3,Lone Wolf
101,Hqpeg68,"[8, 7, 8, 5, 5, 7, 7, 6, 6, 8, 5, 6, 10]",72.44,Graphic Design,22.12,68.54,6.769230769230769,7,5,Helper
102,Ehhjp69,"[9, 8, 8, 7, 9, 7, 7, 9, 8, 8, 10, 8, 10, 7]",93.79,Email Writing,1.25,98.78,8.214285714285714,5,4,Leader
103,Rkprt13,"[2, 5, 3, 3, 6]",38.95,Drawing/Illustration,47.95,18.5,3.8,4,2,Task finisher
104,Citli81,"[9, 7, 10, 9, 7, 9, 9, 8, 7, 8, 7, 7, 10]",86.22,Presenting,7.76,93.63,8.23076923076923,12,4,Leader
105,Ggmba29,"[3, 7, 4, 4]",42.31,Email Writing,47.45,28.61,4.5,5,2,Task finisher
106,Htszi14,"[10, 7, 9, 10, 9]",97.17,Graphic Design,6.64,96.18,9.0,7,4,Leader
107,Drlod39,"[6, 8, 5, 5, 3, 3, 5, 5, 6, 6, 3, 6, 5, 6, 2, 10]",56.6,Translation,40.86,46.43,5.25,23,6,Genelarist
108,Erfun93,"[6, 7, 6, 7, 4, 5, 3, 8, 5, 6, 6, 4, 3, 3, 4]",50.12,Programming,43.46,36.28,5.133333333333334,14,6,Genelarist
109,Hnonl74,"[8, 6, 6, 6, 6]",69.49,Mockup Design,25.63,58.03,6.4,8,5,Helper
110,Adspw44,"[7, 7, 8, 5, 5, 9, 5, 5, 8, 5, 6]",53.88,Content Creation,33.57,39.65,6.363636363636363,1,0,Balancer
111,Ignee69,"[8, 8, 9, 10, 10, 7, 7, 7, 8, 9, 10, 8, 9, 9, 7, 10, 8]",88.25,Report Formatting,7.32,98.52,8.470588235294118,16,4,Leader
112,Uzmcd88,"[7, 9, 6, 8, 6, 7]",79.22,Documentation,13.38,69.66,7.166666666666667,3,1,Perfectionist
113,Zprbd55,"[7, 3, 6, 6, 5, 3, 6]",63.19,Spreadsheet Work,41.65,43.66,5.142857142857143,20,6,Genelarist
114,Kaagl65,"[5, 4, 5, 3, 5, 5, 4, 6]",57.65,Problem Solving,36.1,40.99,4.625,13,6,Genelarist
115,Mknul49,"[8, 10, 10, 9, 10, 8, 8, 10, 6]",98.99,Testing,0.5,100.0,8.777777777777779,22,4,Leader
116,Ncapr22,"[6, 5, 5, 4, 2, 5, 3]",42.34,Email Writing,43.52,24.28,4.285714285714286,5,2,Task finisher
117,Tfnkb20,"[6, 5, 7, 5, 4, 7, 4, 5, 5, 6, 5, 6, 7]",58.48,Code Review,36.59,40.5,5.538461538461538,0,6,Genelarist
118,Amfwp12,"[9, 9, 7, 7, 5, 7, 6]",81.35,Content Creation,28.98,69.8,7.142857142857143,1,5,Helper
119,Qqgiq84,"[8, 10, 6, 8, 9, 7, 9, 8, 9]",74.37,Drawing/Illustration,24.25,73.39,8.222222222222221,4,5,Helper
120,Gxpxl44,"[10, 9, 8, 8, 8, 10, 7, 6, 10, 7, 10]",89.59,Content Creation,13.05,87.81,8.454545454545455,1,4,Leader
121,Ghfgg44,"[5, 5, 3, 5, 3, 4, 4, 2, 6, 3, 2, 4, 5, 3]",34.69,Research,51.99,10.72,3.857142857142857,17,3,Lone Wolf
122,Xujhq56,"[2, 0, 5, 1, 3, 5, 2, 2, 4, 0, 3, 1]",34.59,Reference Finding,58.15,5.41,2.3333333333333335,15,3,Lone Wolf
123,Uauql84,"[4, 5, 5, 3, 4, 4, 7, 6, 4, 5, 3, 6, 6, 7, 4, 5, 5, 5, 2, 6]",55.97,Testing,39.37,33.66,4.8,22,6,Genelarist
124,Jfhrz92,"[5, 6, 7, 5, 7, 4, 5, 6, 4, 6, 6, 6, 8, 6, 6, 8]",65.6,Problem Solving,33.06,54.46,5.9375,13,0,Balancer
125,Gbopt84,"[0, 2, 1, 5, 2, 1, 4, 1, 3, 2, 1, 4, 1, 0, 2, 3, 4]",30.89,Peer Review,57.31,2.61,2.1176470588235294,9,3,Lone Wolf
126,Rpszz20,"[2, 2, 4, 2, 3, 2]",32.72,Graphic Design,59.67,4.58,2.5,7,3,Lone Wolf
127,Cmewm37,"[7, 5, 1, 5, 5, 5, 5]",56.76,Research,45.74,33.07,4.714285714285714,17,6,Genelarist
128,Hwrey79,"[6, 5, 5, 8, 7, 9, 5, 10, 6, 6, 4, 8, 5, 6, 6, 4, 7, 6, 6]",69.24,Translation,20.85,60.59,6.2631578947368425,23,5,Helper
129,Jkcpl78,"[7, 7, 6, 8, 7, 4, 5, 4, 4, 7]",56.25,Testing,38.05,43.93,5.9,22,6,Genelarist
130,Opimo38,"[5, 7, 6, 9, 4, 5, 5, 5, 6, 9, 8, 7, 8, 5, 6, 9, 9, 5]",74.49,Research,27.01,66.47,6.555555555555555,17,5,Helper
131,Jqxgk82,"[9, 10, 10, 8, 9, 8, 10, 8, 9, 9]",94.52,Problem Solving,3.87,97.11,9.0,13,4,Leader
132,Iseuk31,"[6, 7, 6, 7, 7, 6, 9, 7, 3, 7, 7, 5, 4, 7, 6, 6, 10, 8, 8, 9]",72.06,Peer Review,29.12,57.01,6.75,9,5,Helper
133,Cyemu17,"[3, 4, 3, 0]",35.05,Diagram Creation,52.24,14.92,2.5,2,3,Lone Wolf
134,Qwfnq28,"[9, 9, 8, 9, 7, 10, 8, 9, 10]",83.98,Storyboarding,20.02,82.85,8.777777777777779,21,1,Perfectionist
135,Lgzwd40,"[3, 6, 5, 5, 5, 3, 8, 5, 5, 8, 8, 6, 2, 5, 3, 6, 5, 3, 7]",49.02,Reference Finding,37.43,35.62,5.157894736842105,15,6,Genelarist
136,Mtlbt20,"[8, 9, 4, 9, 5, 5, 7]",69.51,Reviewing,25.29,63.55,6.714285714285714,18,5,Helper
137,Dtkru20,"[5, 8, 8, 4, 5, 8, 4]",58.49,Graphic Design,43.79,41.28,6.0,7,6,Genelarist
138,Oiabq41,"[2, 4, 6, 4, 5, 1, 4, 7, 5, 3, 5]",44.6,Script Writing,41.59,24.69,4.181818181818182,19,2,Task finisher
139,Kclar38,"[2, 4, 2, 4, 5, 2]",39.99,Report Formatting,46.12,14.93,3.1666666666666665,16,2,Task finisher
140,Dypna15,"[8, 7, 10, 9, 7, 10, 10, 10, 10, 9, 10, 10, 9, 10, 9]",93.99,Report Formatting,8.16,93.34,9.2,16,4,Leader
141,Xjhcx28,"[7, 5, 6, 3]",55.21,Reference Finding,44.39,40.01,5.25,15,6,Genelarist
142,Fvker90,"[4, 4, 2, 3, 8, 3, 5, 6, 4, 5]",56.57,Presenting,32.44,37.1,4.4,12,6,Genelarist
143,Ciycm24,"[7, 5, 9, 3, 7, 4, 6, 6, 5, 5, 6, 8]",60.18,Storyboarding,29.24,51.59,5.916666666666667,21,0,Balancer
144,Lvmmx90,"[7, 9, 5, 5, 7, 7, 7, 7, 8, 8, 10]",82.39,Reference Finding,24.07,78.05,7.2727272727272725,15,1,Perfectionist
145,Nrpmr95,"[7, 6, 6, 7, 8]",61.18,Code Review,28.49,53.29,6.8,0,0,Balancer
146,Dclwd73,"[9, 9, 8, 9, 10, 9, 10, 6]",85.28,Storyboarding,15.72,85.05,8.75,21,1,Perfectionist
147,Evwed18,"[4, 3, 6, 3, 5, 3, 2, 5, 2, 3]",51.06,Peer Review,37.8,25.62,3.6,9,2,Task finisher
148,Nieis82,"[5, 5, 5, 7, 5, 4, 6, 4, 6, 5]",62.85,Writing,24.77,44.19,5.2,24,0,Balancer
149,Nnwrt94,"[3, 5, 3, 2, 1, 3, 3, 4, 3, 5, 4, 1, 2, 3, 2, 3]",33.59,Planning,58.58,11.7,2.9375,10,3,Lone Wolf
150,Wqjiv11,"[5, 5, 6, 7, 7, 8, 5, 6, 5, 6, 5, 3, 7, 8]",58.86,Problem Solving,35.13,45.98,5.928571428571429,13,0,Balancer
151,Yzxtf36,"[7, 10, 10, 9, 8, 8, 9, 9, 10, 8]",85.28,Research,6.35,90.52,8.8,17,4,Leader
152,Nryno98,"[4, 2, 3, 1, 2, 7, 3, 4, 4, 4, 3, 2, 8, 8, 5, 2, 7, 4, 3]",46.09,Peer Review,53.39,19.9,4.0,9,2,Task finisher
153,Hiijh35,"[5, 4, 5, 7, 3, 7, 4, 8, 8, 4, 7, 6, 5, 6, 6, 8]",65.53,Mockup Design,30.45,51.41,5.8125,8,0,Balancer
154,Zaajn39,"[8, 10, 9, 8, 9, 7, 6, 8, 6, 7, 5, 8, 8, 8, 8]",76.52,Storyboarding,27.97,74.64,7.666666666666667,21,5,Helper
155,Fjgnx86,"[7, 9, 9]",87.2,Research,15.51,89.01,8.333333333333334,17,1,Perfectionist
156,Bjiwq75,"[9, 6, 9, 6, 7, 8, 7, 5]",68.97,Script Writing,28.9,57.67,7.125,19,5,Helper
157,Uzxgq93,"[7, 10, 8, 5, 6, 7, 6, 7, 8, 7, 7, 8, 9, 10, 7, 9]",68.39,Translation,19.88,64.11,7.5625,23,5,Helper
158,Qmhjk50,"[6, 5, 2]",44.67,Writing,46.85,20.07,4.333333333333333,24,2,Task finisher
159,Wuouw48,"[10, 5, 7, 4, 5, 7, 5]",69.25,Planning,22.69,62.17,6.142857142857143,10,5,Helper
160,Mqkim23,"[7, 5, 9, 4, 8, 7, 7, 7, 4, 8, 7]",66.06,Testing,28.55,60.77,6.636363636363637,22,5,Helper
161,Exnkd91,"[7, 6, 1, 4]",44.69,Presentation Design,41.16,24.53,4.5,11,2,Task finisher
162,Xspgv10,"[6, 9, 9, 6, 9]",79.8,Peer Review,24.87,77.81,7.8,9,1,Perfectionist
163,Ljrqz22,"[7, 8, 7, 4, 7, 7, 6, 5, 6, 7, 7, 6, 5, 7, 6, 7, 8, 9, 4, 5]",72.06,Storyboarding,17.71,64.32,6.4,21,5,Helper
164,Btdsc16,"[9, 8, 7, 7, 5, 7, 8, 6, 8, 8]",74.57,Documentation,28.52,64.35,7.3,3,5,Helper
165,Bigiw56,"[7, 9, 7, 7, 6, 5, 5, 8, 7, 8, 6, 6]",61.21,Presenting,33.32,57.28,6.75,12,0,Balancer
166,Rymrh67,"[4, 3, 3, 3, 2, 5, 6, 6, 6, 2, 4, 5, 4, 6, 3, 6, 3, 6]",43.88,Presenting,48.95,25.39,4.277777777777778,12,2,Task finisher
167,Knxgo72,"[9, 6, 8, 8, 9, 8, 8, 7, 10, 10, 10, 9, 10, 10, 7, 10]",87.02,Diagram Creation,5.13,90.01,8.6875,2,4,Leader
168,Nswhi62,"[4, 2, 5, 5, 4, 2, 5, 6, 4, 4, 6, 6, 5, 6, 3, 4, 5, 3, 7, 3]",47.72,Reviewing,40.18,27.72,4.45,18,2,Task finisher
169,Jxtbk94,"[8, 7, 7, 8, 5, 6, 7]",78.09,Writing,27.1,69.48,6.857142857142857,24,5,Helper
170,Jqzou60,"[10, 9, 9, 9]",79.58,Drawing/Illustration,25.0,78.08,9.25,4,1,Perfectionist
171,Kxzzx44,"[8, 7, 6, 6, 9, 7, 10, 6, 7, 7, 6, 6, 8]",74.71,Documentation,15.64,61.91,7.153846153846154,3,5,Helper
172,Zevbf17,"[5, 5, 0, 1, 3, 5, 3, 2, 4, 5, 3]",33.89,Presentation Design,58.77,6.35,3.272727272727273,11,3,Lone Wolf
